participantID,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,masterTrialID,conditionTrialID,condition,colorSequence,gender,age,education
80,0.990310559,0.868412018,5,5,5,0,1,0,7,3176.5,15,6,low,"[2,2,2,2,2]",2,22,7
80,0.919875776,0.748277664,5,3,4,1,1,0,3,3724.2,18,7,low,"[2,2,1,2,2]",2,22,7
87,0.919875776,0.748277664,5,3,4,1,1,0,3,10261.6,4,1,low,"[2,2,1,2,2]",2,27,6
87,1,1,24,8,8,16,1,0,8,12396.2,11,2,low,"[1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2]",2,27,6
87,1,1,19,9,14,5,1,0,9,24344.7,13,3,low,"[2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2]",2,27,6
87,0.999176201,0.99609375,17,7,5,12,1,0,101,12570,15,4,low,"[2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1]",2,27,6
87,0.99989366,0.996826172,13,9,2,11,1,0,4,8810.5,16,5,low,"[1,1,1,1,2,1,1,1,2,1,1,1,1]",2,27,6
87,0.997583793,0.980712891,13,7,3,10,1,0,6,9710.9,18,6,low,"[1,1,1,1,2,1,1,2,1,2,1,1,1]",2,27,6
87,0.999771167,0.998046875,16,8,12,4,1,0,7,13329.9,19,7,low,"[2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2]",2,27,6
83,1,1,19,11,15,4,1,0,3,13590.1,1,1,low,"[2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2]",2,22,7
83,1,1,18,10,4,14,1,0,6,9106.3,10,2,low,"[1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1]",2,22,7
83,1,1,17,9,4,13,1,0,4,9262.1,11,3,low,"[2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1]",2,22,7
83,1,1,20,8,14,6,1,0,7,10449,12,4,low,"[1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1]",2,22,7
83,1,1,22,6,8,14,1,0,8,11924.3,13,5,low,"[1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2]",2,22,7
83,1,1,22,6,8,14,1,0,101,11005.1,15,6,low,"[1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1]",2,22,7
83,1,1,21,5,13,8,1,0,9,13009.2,17,7,low,"[1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2]",2,22,7
111,0.979297348,0.9453125,15,5,5,10,1,0,101,8266.7,2,1,low,"[2,1,1,2,1,1,2,1,1,2,1,1,2,1,1]",1,24,7
111,0.999508682,0.982421875,10,8,9,1,1,0,3,4398.5,6,2,low,"[2,2,2,1,2,2,2,2,2,2]",1,24,7
111,0.998196258,0.961593628,9,7,8,1,1,0,7,4150.1,7,3,low,"[2,2,2,2,2,2,1,2,2]",1,24,7
111,1,1,20,8,6,14,1,0,8,8109.4,9,4,low,"[1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2]",1,24,7
111,1,1,23,11,17,6,1,0,9,8693.7,13,5,low,"[1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2]",1,24,7
111,0.999998654,0.999755859,13,11,1,12,1,0,4,5803.2,18,6,low,"[1,1,1,1,1,1,1,1,1,2,1,1,1]",1,24,7
111,1,1,23,9,7,16,1,0,6,9240.6,20,7,low,"[2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1]",1,24,7
95,0.999398689,0.988769531,12,8,2,10,1,0,4,10553,1,1,low,"[2,1,1,1,2,1,1,1,1,1,1,1]",1,23,7
95,1,1,21,7,7,14,1,0,8,10878.3,2,2,low,"[1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1]",1,23,7
95,1,1,23,11,6,17,1,0,6,10426,5,3,low,"[1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1]",1,23,7
95,1,1,20,6,7,13,1,0,101,8394.9,7,4,low,"[2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1]",1,23,7
95,1,1,19,9,14,5,1,0,9,7484.1,11,5,low,"[2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1]",1,23,7
95,1,1,19,9,14,5,1,0,3,8634.4,14,6,low,"[2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1]",1,23,7
95,1,1,19,7,13,6,1,0,7,7478,20,7,low,"[2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2]",1,23,7
96,1,1,25,9,17,8,1,0,9,10487.1,2,1,low,"[2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2]",2,25,7
96,1,1,17,9,4,13,1,0,6,18729,6,2,low,"[1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2]",2,25,7
96,1,1,25,13,19,6,1,0,3,9076.9,10,3,low,"[1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2]",2,25,7
96,1,1,25,11,18,7,1,0,7,12078.5,11,4,low,"[2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2]",2,25,7
96,1,1,21,7,7,14,1,0,101,14717.9,14,5,low,"[2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2]",2,25,7
96,1,1,18,8,5,13,1,0,8,14157.6,18,6,low,"[1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1]",2,25,7
96,1,1,17,9,4,13,1,0,4,12439.8,21,7,low,"[2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1]",2,25,7
98,0.886902679,0.828125,15,3,6,9,1,0,6,28672.3,1,1,low,"[1,1,2,2,1,1,2,2,1,1,2,1,1,1,2]",2,24,7
98,0.99989366,0.996826172,13,9,11,2,1,0,7,11696.1,2,2,low,"[2,1,1,2,2,2,2,2,2,2,2,2,2]",2,24,7
98,0.997583793,0.971313477,11,7,9,2,1,0,3,6976.5,4,3,low,"[2,2,1,1,2,2,2,2,2,2,2]",2,24,7
98,0.951578947,0.833847046,8,4,6,2,1,0,9,5230,5,4,low,"[2,2,2,1,1,2,2,2]",2,24,7
98,1,1,20,6,7,13,1,0,8,10198,7,5,low,"[1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1]",2,24,7
