sID,trialNumber,prID,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,traits1,traits2,traits3,s,strategy,sex,age
2,39,,5,0.125,0,1.9,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,2.3812,15,2.9257,5,1,,,,0.3333333333333333,compromise,Male,32
2,40,,45,0.25,1,1.6,0.244444444,"9,9,9,9,9","2,1,4,2,2","7,8,5,7,7",20,2.3977,15,7.2558,20,1,,,,#NAME?,stay,Male,32
2,41,,5,0.25,0,1.9,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,1.1323,30,5.2121,38,3,,,,0.5555555555555556,compromise,Male,32
2,42,,45,0.75,1,1.9,0.755555556,"9,9,9,9,9","6,8,6,9,5","3,1,3,0,4",78,2.001,78,2.1786,78,3,,,,NA,NA,Male,32
2,43,,45,0.5,0,1.7,0.511111111,"9,9,9,9,9","4,5,4,5,5","5,4,5,4,4",45,1.432,52,5.878,63,1,,,,0.3888888888888889,compromise,Male,32
2,44,,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","3,0,2,1,0","6,9,7,8,9",10,2.7143,17,5.9076,27,3,,,,0.4117647058823529,compromise,Male,32
2,45,,5,0.25,0,1.5,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,1.1188,25,3.4065,35,2,,,,0.3333333333333333,compromise,Male,32
2,46,,5,0,1,1.7,0,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",10,1.4984,9,3.2431,8,3,,,,0.5,compromise,Male,32
2,47,,5,0.75,0,1.8,0.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",80,1.2157,72,6.373,63,2,,,,0.47058823529411764,compromise,Male,32
2,48,,45,1,1,1.9,1,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,1.815,100,2.0447,100,3,,,,NA,NA,Male,32
2,49,,45,0.75,0,1.6,0.755555556,"9,9,9,9,9","6,8,8,6,6","3,1,1,3,3",82,2.581,78,8.4047,66,1,,,,0.25,compromise,Male,32
2,50,,45,0.375,0,1.7,0.377777778,"9,9,9,9,9","2,2,6,4,3","7,7,3,5,6",48,3.7301,35,8.6036,30,3,,,,0.7222222222222222,compromise,Male,32
2,51,,45,0.625,0,1.5,0.622222222,"9,9,9,9,9","7,8,7,4,2","2,1,2,5,7",42,2.6639,60,9.1086,60,3,,,,1,copy,Male,32
2,52,,5,0.5,1,2,0.6,"1,1,1,1,1","0,1,1,1,0","1,0,0,0,1",60,1.4179,60,4.1554,15,1,,,,0,stay,Male,32
2,53,,5,0.125,0,1.7,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",20,1.5654,10,3.5261,5,3,,,,0.6666666666666666,compromise,Male,32
2,54,,45,0.875,1,1.9,0.866666667,"9,9,9,9,9","9,7,8,6,9","0,2,1,3,0",85,3.014,85,3.9084,31,1,,,,0,stay,Male,32
3,1,,5,0.125,0,2,0.2,"1,1,1,1,1","0,1,0,0,0","1,0,1,1,1",10,6.0616,15,6.5562,25,2,,,,0.3333333333333333,compromise,Female,36
3,2,,5,0.375,0,2,0.4,"1,1,1,1,1","0,0,1,0,1","1,1,0,1,0",40,4.048,40,6.2401,25,2,,,,0,stay,Female,36
3,3,,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",80,2.1651,80,4.1423,97,3,,,,0,stay,Female,36
3,4,,5,0.75,0,1.9,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,2.8822,80,3.161,65,3,,,,0,stay,Female,36
3,5,,5,0.125,0,2,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",10,2.5151,10,2.9256,28,3,,,,0,stay,Female,36
3,6,,45,0.875,0,1.9,0.866666667,"9,9,9,9,9","8,6,8,8,9","1,3,1,1,0",85,6.8335,90,5.6872,100,2,,,,0.3333333333333333,compromise,Female,36
3,7,,45,0.375,0,1.8,0.377777778,"9,9,9,9,9","3,4,3,5,2","6,5,6,4,7",60,5.7681,60,5.454,45,1,,,,0,stay,Female,36
3,8,,5,0.25,0,2,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",20,5.6679,20,2.5537,37,3,,,,0,stay,Female,36
3,9,,45,0.875,0,1.9,0.866666667,"9,9,9,9,9","7,9,8,8,7","2,0,1,1,2",90,4.4866,85,3.3203,73,1,,,,0.29411764705882354,compromise,Female,36
3,10,,45,0.125,0,1.7,0.133333333,"9,9,9,9,9","0,2,2,1,1","9,7,7,8,8",60,1.9322,60,1.4312,44,3,,,,0,stay,Female,36
3,11,,45,0.75,1,1.7,0.755555556,"9,9,9,9,9","7,6,8,8,5","2,3,1,1,4",80,5.6968,80,2.262,80,3,,,,NA,NA,Female,36
3,12,,5,0.5,0,1.5,0.6,"1,1,1,1,1","0,1,1,1,0","1,0,0,0,1",60,3.4309,60,2.6096,42,3,,,,0,stay,Female,36
3,13,,45,0.625,0,1.7,0.622222222,"9,9,9,9,9","5,4,8,5,6","4,5,1,4,3",68,7.3839,65,3.1389,51,1,,,,0.17647058823529413,compromise,Female,36
3,14,,5,0.375,0,2,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,2.8281,80,8.0629,22,1,,,,-2.222222222,stay,Female,36
3,15,,45,0.5,0,1.8,0.511111111,"9,9,9,9,9","6,7,3,2,5","3,2,6,7,4",60,8.2242,60,4.408,42,2,,,,0,stay,Female,36
3,16,,45,0.375,0,1.7,0.377777778,"9,9,9,9,9","4,2,3,2,6","5,7,6,7,3",40,5.1964,40,3.7263,22,2,,,,0,stay,Female,36
3,17,,5,0.25,0,1.6,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",10,5.9848,20,5.3546,27,1,,,,0.5882352941176471,compromise,Female,36
