sID,nTotal,true_ratio,estimate
8,25,0.125,0
8,45,0.125,0
8,45,1,100
8,45,0.125,41
8,5,1,91
8,5,0.875,90
8,45,0.625,50
8,25,0.875,90
8,25,0.375,22
8,5,0.75,100
8,5,0.5,61
8,25,0.875,100
8,25,0.625,70
8,25,1,100
8,45,1,85
8,5,0.125,6
8,45,0.375,20
8,45,0.25,42
8,45,0,13
8,45,0.125,18
8,5,0,0
8,5,0.5,50
8,5,0.25,11
8,25,0.125,26
8,45,0.375,43
8,25,1,88
8,25,0.5,75
8,45,0.5,50
8,5,0.875,96
8,45,1,100
8,45,0.375,50
8,25,0.375,54
8,5,0.625,94
8,25,0.25,12
8,45,0.75,75
8,45,0.875,68
8,5,0.25,17
8,5,0.875,100
8,25,1,100
9,45,0.75,60
9,5,0,1
9,25,0.75,88
9,45,0.625,65
9,5,0.625,20
9,25,0.625,55
9,25,0.875,95
9,25,0.625,90
9,25,0.625,25
9,25,0.5,15
9,5,0.5,80
9,5,0.25,10
9,45,0.25,5
9,45,0.75,85
9,5,0.375,20
9,25,0,10
9,5,0.25,10
9,5,0.5,90
9,45,0.125,5
9,45,1,100
9,25,0.375,15
9,25,0.25,10
9,25,1,100
9,5,0.375,90
9,25,0.5,30
9,25,0.875,70
9,25,0.125,20
9,25,0.375,40
9,45,0,10
9,25,0.125,4
9,5,0.5,50
9,5,0.75,70
9,5,0.125,10
9,5,0.875,90
9,25,0.875,99
9,45,0.5,50
9,25,0.5,60
9,25,0.125,1
9,5,1,95
9,25,1,100
9,45,0,0
9,5,0.75,5
9,25,0.25,20
9,45,0.625,55
9,5,0,15
9,25,0,0
9,25,0,0
9,45,0.375,45
9,45,1,85
9,5,0.625,85
9,45,0.125,0
9,5,0.375,10
9,45,0.75,80
9,25,1,80
9,5,0.875,95
9,5,0.125,5
9,25,0.75,55
9,25,0.375,50
9,45,0.875,100
9,45,0.5,55
9,45,1,100
9,25,0.25,20
9,5,0.875,81
9,5,0.75,90
9,45,0,0
9,45,0.25,82
9,5,1,90
9,5,0.625,90
9,5,0.25,90
9,45,0.875,90
9,45,0.375,51
9,45,0.125,25
9,25,0.75,85
9,45,0.5,50
9,5,0,10
9,45,0.375,91
9,5,1,95
9,45,0.625,50
9,5,0.125,15
9,45,0.25,15
9,45,0.875,80
10,5,0.5,60
10,25,0.375,29
10,5,0,0
10,5,1,100
10,45,0.25,18
10,45,0.75,46
10,5,0.375,10
10,45,0.5,26
10,45,0.875,79
10,45,0.875,86
10,25,0.875,91
10,5,0.875,90
10,25,0.75,95
10,45,0.5,81
10,45,1,100
10,25,0,20
10,45,0.375,62
10,25,1,100
10,5,0.25,40
10,5,0.375,44
10,45,0.625,71
10,25,0.375,53
10,5,0.75,60
10,5,0,0
10,5,1,90
10,45,0.25,30
10,25,0.5,52
10,5,0.125,10
10,25,0.5,13
10,25,0.125,0
10,5,0.125,10
10,5,0.875,100
