sID,trialNumber,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,s,strategy,sex,age,trial_filter
2,38,5,0.5,0,1.7,0.6,"1,1,1,1,1","0,1,0,1,1","1,0,1,0,0",60,3.7466,60,2.8427,44,1,-0,stay,Male,32,1
2,39,5,0.125,0,1.9,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,2.3812,15,2.9257,5,1,0.3333333333333333,compromise,Male,32,1
2,41,5,0.25,0,1.9,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,1.1323,30,5.2121,38,3,0.5555555555555556,compromise,Male,32,1
2,43,45,0.5,0,1.7,0.511111111,"9,9,9,9,9","4,5,4,5,5","5,4,5,4,4",45,1.432,52,5.878,63,1,0.3888888888888889,compromise,Male,32,1
2,44,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","3,0,2,1,0","6,9,7,8,9",10,2.7143,17,5.9076,27,3,0.4117647058823529,compromise,Male,32,1
2,45,5,0.25,0,1.5,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,1.1188,25,3.4065,35,2,0.3333333333333333,compromise,Male,32,1
2,47,5,0.75,0,1.8,0.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",80,1.2157,72,6.373,63,2,0.47058823529411764,compromise,Male,32,1
2,49,45,0.75,0,1.6,0.755555556,"9,9,9,9,9","6,8,8,6,6","3,1,1,3,3",82,2.581,78,8.4047,66,1,0.25,compromise,Male,32,1
2,50,45,0.375,0,1.7,0.377777778,"9,9,9,9,9","2,2,6,4,3","7,7,3,5,6",48,3.7301,35,8.6036,30,3,0.7222222222222222,compromise,Male,32,1
2,51,45,0.625,0,1.5,0.622222222,"9,9,9,9,9","7,8,7,4,2","2,1,2,5,7",42,2.6639,60,9.1086,60,3,1,copy,Male,32,1
2,53,5,0.125,0,1.7,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",20,1.5654,10,3.5261,5,3,0.6666666666666666,compromise,Male,32,1
3,1,5,0.125,0,2,0.2,"1,1,1,1,1","0,1,0,0,0","1,0,1,1,1",10,6.0616,15,6.5562,25,2,0.3333333333333333,compromise,Female,36,1
3,2,5,0.375,0,2,0.4,"1,1,1,1,1","0,0,1,0,1","1,1,0,1,0",40,4.048,40,6.2401,25,2,-0,stay,Female,36,1
3,3,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",80,2.1651,80,4.1423,97,3,0,stay,Female,36,1
3,4,5,0.75,0,1.9,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,2.8822,80,3.161,65,3,-0,stay,Female,36,1
3,5,5,0.125,0,2,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",10,2.5151,10,2.9256,28,3,0,stay,Female,36,1
3,6,45,0.875,0,1.9,0.866666667,"9,9,9,9,9","8,6,8,8,9","1,3,1,1,0",85,6.8335,90,5.6872,100,2,0.3333333333333333,compromise,Female,36,1
3,7,45,0.375,0,1.8,0.377777778,"9,9,9,9,9","3,4,3,5,2","6,5,6,4,7",60,5.7681,60,5.454,45,1,-0,stay,Female,36,1
3,8,5,0.25,0,2,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",20,5.6679,20,2.5537,37,3,0,stay,Female,36,1
3,9,45,0.875,0,1.9,0.866666667,"9,9,9,9,9","7,9,8,8,7","2,0,1,1,2",90,4.4866,85,3.3203,73,1,0.29411764705882354,compromise,Female,36,1
3,12,5,0.5,0,1.5,0.6,"1,1,1,1,1","0,1,1,1,0","1,0,0,0,1",60,3.4309,60,2.6096,42,3,-0,stay,Female,36,1
3,13,45,0.625,0,1.7,0.622222222,"9,9,9,9,9","5,4,8,5,6","4,5,1,4,3",68,7.3839,65,3.1389,51,1,0.17647058823529413,compromise,Female,36,1
3,15,45,0.5,0,1.8,0.511111111,"9,9,9,9,9","6,7,3,2,5","3,2,6,7,4",60,8.2242,60,4.408,42,2,-0,stay,Female,36,1
3,16,45,0.375,0,1.7,0.377777778,"9,9,9,9,9","4,2,3,2,6","5,7,6,7,3",40,5.1964,40,3.7263,22,2,-0,stay,Female,36,1
3,17,5,0.25,0,1.6,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",10,5.9848,20,5.3546,27,1,0.5882352941176471,compromise,Female,36,1
3,19,45,0.5,0,1.9,0.511111111,"9,9,9,9,9","5,4,5,5,4","4,5,4,4,5",60,6.5009,55,4.1392,44,1,0.3125,compromise,Female,36,1
3,20,5,0.75,0,1.6,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,5.13,80,2.9307,65,2,-0,stay,Female,36,1
3,23,45,0.25,0,1.6,0.244444444,"9,9,9,9,9","4,2,2,2,1","5,7,7,7,8",22,7.1507,22,3.5937,37,2,0,stay,Female,36,1
3,26,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","4,5,6,8,5","5,4,3,1,4",48,8.0837,56,5.027,66,3,0.4444444444444444,compromise,Female,36,1
3,27,45,0.75,0,1.6,0.755555556,"9,9,9,9,9","8,8,6,6,6","1,1,3,3,3",67,6.851,73,3.505,83,2,0.375,compromise,Female,36,1
3,28,5,0.375,0,1.9,0.4,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",20,2.1652,20,2.6251,37,3,0,stay,Female,36,1
3,29,5,0.5,0,1.5,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",60,2.4493,60,2.1948,42,2,-0,stay,Female,36,1
3,30,5,0.125,0,1.5,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,3.0034,20,5.3478,2,1,-0,stay,Female,36,1
3,31,45,0.375,0,1.5,0.377777778,"9,9,9,9,9","2,3,2,6,4","7,6,7,3,5",34,5.0851,34,2.0092,50,3,0,stay,Female,36,1
3,33,5,0.75,0,1.5,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,2.8522,80,7.6368,62,1,-0,stay,Female,36,1
3,34,5,0.625,0,2,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",80,5.2801,80,1.9605,62,2,-0,stay,Female,36,1
3,37,45,0.25,0,1.8,0.244444444,"9,9,9,9,9","3,1,1,0,6","6,8,8,9,3",22,5.0807,22,4.8464,37,1,0,stay,Female,36,1
3,38,5,0.625,0,2,0.6,"1,1,1,1,1","1,1,1,0,0","0,0,0,1,1",60,3.3609,60,3.1649,78,3,0,stay,Female,36,1
